iteration,agent_id,fitness,x0,x1
0, 0, 3.3298, -0.962328, 0.186024
0, 1, 10.6407, -2.02948, -4.22465
0, 2, 8.09703, -0.787903, -2.82472
0, 3, 7.87271, 2.38888, -0.283989
0, 4, 10.8277, 4.92432, -0.180379
0, 5, 3.70775, 0.270368, 0.50605
0, 6, 10.7703, 1.48468, 3.80995
0, 7, 13.3491, 4.83722, 3.56163
0, 8, 7.12076, -0.291554, 2.20801
0, 9, 11.3347, -2.87458, -3.61251
0, 10, 9.6821, 3.72467, 0.152681
0, 11, 9.21273, -2.69102, 1.44526
0, 12, 0.101535, -0.0256009, -0.0122171
0, 13, 9.6758, -0.916356, -3.44531
0, 14, 7.05888, 0.721223, 2.1656
0, 15, 11.2876, 3.51299, 2.94068
0, 16, 13.1065, -3.85276, -4.69453
0, 17, 7.59582, 1.89023, 1.49026
0, 18, 11.194, 3.96148, -2.69369
0, 19, 14.0824, 4.49678, -4.82909
0, 20, 10.7611, 1.49443, -3.98183
0, 21, 11.4067, -3.98206, 2.60527
0, 22, 11.0284, -4.44436, 0.0285279
0, 23, 5.64641, 1.98636, -0.188149
0, 24, 12.6971, -4.48241, 2.62552
0, 25, 7.32793, 0.144736, -2.3412
0, 26, 10.5142, 3.15984, -2.43459
0, 27, 6.90615, -1.84615, 1.99016
0, 28, 8.33795, -2.96488, 0.334347
0, 29, 11.736, -4.67162, 1.89878
0, 30, 11.0764, 0.227296, 4.98443
0, 31, 10.7063, -2.03341, 4.95416
0, 32, 12.3448, 4.09955, -3.67395
0, 33, 4.34282, 0.343801, -1.0349
0, 34, 10.4687, -0.130128, 4.2706
0, 35, 10.9293, -0.268966, 4.27394
0, 36, 9.62143, -0.897849, 4.13099
0, 37, 10.6134, -4.05397, 1.35548
0, 38, 12.6326, 3.18987, 4.39619
0, 39, 8.51507, -0.537855, 2.55911
0, 40, 6.61428, -2.06658, -0.333618
0, 41, 6.16588, 0.504116, 1.4202
0, 42, 4.4089, -0.717183, -0.447231
0, 43, 9.55025, 3.25672, 1.25624
0, 44, 9.68215, 1.85021, 3.26648
0, 45, 11.7359, 2.99955, -4.81612
0, 46, 10.0678, -3.45362, -0.672848
0, 47, 2.78373, 0.122908, 0.371767
0, 48, 9.97894, -1.12132, 4.16184
