iteration,fitness,x0,x1
0, 421.202, 208.84, 458.766
1, -704.769, 288.28, -481.866
2, -704.769, 288.28, -481.866
3, -808.359, -325.492, 512
4, -808.325, -325.461, 511.995
5, -816.899, -312.944, 512
6, -888.476, 512, 411.564
7, -888.516, 512, 411.604
8, -888.532, 512, 411.619
9, -952.45, 512, 401.734
10, -952.476, 512, 401.76
11, -952.464, 511.994, 401.754
12, -952.451, 511.996, 401.738
13, -952.431, 511.987, 401.727
14, -952.452, 511.991, 401.745
15, -952.425, 511.983, 401.726
16, -952.44, 511.996, 401.727
17, -952.427, 511.981, 401.73
18, -952.425, 511.972, 401.737
19, -952.424, 511.976, 401.731
20, -952.44, 511.988, 401.737
21, -952.456, 511.999, 401.741
22, -952.449, 512, 401.733
23, -952.447, 511.999, 401.732
24, -952.443, 512, 401.726
25, -952.437, 511.993, 401.728
26, -952.426, 511.986, 401.723
27, -952.428, 511.978, 401.734
28, -952.42, 511.976, 401.727
29, -952.433, 511.985, 401.732
30, -952.432, 511.988, 401.728
31, -952.432, 511.99, 401.726
32, -952.434, 511.989, 401.729
33, -952.426, 511.984, 401.725
34, -952.437, 511.991, 401.73
35, -952.426, 511.983, 401.727
36, -952.426, 511.975, 401.734
37, -952.426, 511.972, 401.738
38, -958.47, 512, 403.934
39, -958.477, 512, 403.941
40, -958.48, 512, 403.944
41, -958.484, 511.997, 403.952
42, -958.48, 511.998, 403.947
43, -958.478, 512, 403.943
44, -958.479, 512, 403.944
45, -958.471, 511.995, 403.94
46, -958.47, 511.995, 403.939
47, -958.469, 511.993, 403.94
48, -958.47, 511.999, 403.936
49, -958.476, 512, 403.941
