iteration,fitness,x0,x1
0, -493.151, -311.56, 177.496
1, -853.306, 476.366, 434.47
2, -853.221, 476.372, 434.379
3, -853.108, 476.309, 434.315
4, -911.468, 476.319, 434.294
5, -911.553, 476.362, 434.341
6, -853.187, 476.354, 434.359
7, -853.192, 476.32, 434.391
8, -853.16, 476.32, 434.359
9, -954.404, 512, 405.082
10, -954.352, 511.974, 405.056
11, -954.349, 511.965, 405.061
12, -954.371, 511.978, 405.071
13, -954.368, 511.965, 405.081
14, -957.603, 512, 404.521
15, -957.585, 512, 404.503
16, -957.579, 511.999, 404.498
17, -957.557, 511.987, 404.488
18, -957.569, 511.982, 404.504
19, -957.543, 511.969, 404.491
20, -957.552, 511.978, 404.492
21, -957.546, 511.976, 404.488
22, -957.527, 511.967, 404.478
23, -957.53, 511.966, 404.481
24, -957.525, 511.955, 404.488
25, -957.534, 511.964, 404.488
26, -957.538, 511.974, 404.481
27, -957.536, 511.973, 404.48
28, -957.54, 511.977, 404.481
29, -957.534, 511.976, 404.475
30, -957.531, 511.972, 404.477
31, -957.534, 511.977, 404.475
32, -957.538, 511.976, 404.48
33, -957.554, 511.985, 404.487
34, -957.549, 511.979, 404.487
35, -957.555, 511.979, 404.494
36, -957.547, 511.976, 404.489
37, -957.542, 511.969, 404.491
38, -957.54, 511.973, 404.485
39, -957.529, 511.966, 404.481
40, -957.526, 511.961, 404.483
41, -957.535, 511.968, 404.484
42, -957.533, 511.962, 404.488
43, -957.543, 511.966, 404.495
44, -957.535, 511.963, 404.49
45, -957.531, 511.961, 404.488
46, -957.52, 511.955, 404.482
47, -957.519, 511.953, 404.484
48, -957.525, 511.957, 404.486
49, -957.524, 511.953, 404.489
