iteration,agent_id,fitness,x0,x1
1, 36, -330.722, 510.453, 91.1736
1, 37, 22.0992, 220.61, 302.059
1, 38, 654.056, 313.085, 381.271
1, 39, -0.796133, -97.8743, 241.145
1, 40, -349.813, -226.344, -512
1, 41, -290.307, -29.5877, -330.615
1, 42, -500.522, -218.209, 275.062
1, 43, 561.996, 102.404, -512
1, 44, -11.2495, -74.3317, 27.9574
1, 45, 47.4074, -52.954, 72.1762
1, 46, 126.599, -107.587, -231.107
1, 47, -652.057, 512, -275.848
1, 48, 251.345, -399.181, 14.4684
1, 49, 64.9102, -164.342, 512
1, 50, 203.962, 162.338, -4.5728
1, 51, 169.645, -512, 78.6369
1, 52, -59.9365, -12.8093, 34.6429
1, 53, 68.1734, -69.0915, 76.9324
1, 54, -6.42868, -297.105, -358.979
1, 55, 432.748, 512, 164.949
1, 56, 207.065, 237.863, 314.838
1, 57, -76.0968, 259.317, -304.557
1, 58, 225.853, -194.522, 201.934
1, 59, 98.048, 383.867, 200.873
1, 60, 144.767, 410.254, -238.916
1, 61, -101.805, 342.333, -185.986
1, 62, -183.013, 190.057, -49.3896
1, 63, 488.621, -45.4276, 512
1, 64, 180.246, 213.852, -114.144
1, 65, -543.353, 391.001, 512
1, 66, -300.907, -81.6463, 188.398
1, 67, 655.037, -498.302, 171.267
1, 68, 50.7393, 22.9349, 95.4595
1, 69, -523.65, 237.141, -465.688
1, 70, -254.653, 229.848, 512
1, 71, 330.055, -512, 153.775
1, 72, 121.935, -287.545, 47.7711
1, 73, 464.47, 512, 176.15
1, 74, -22.7066, 7.80008, -301.723
1, 75, -483.745, -314.133, -455.567
1, 76, -87.3336, 300.729, -118.833
1, 77, -198.081, -42.1733, 443.089
1, 78, 555.812, -457.738, 512
1, 79, -819.589, -313.998, 512
1, 80, 507.412, -390.406, -255.07
1, 81, 257.46, 21.0853, 227.654
1, 82, 31.2869, -100.346, -155.616
1, 83, -158.094, 272.54, 179.749
1, 84, 131.952, -24.6101, 85.9599
1, 85, 10.9279, -77.6581, 26.8077
1, 86, -114.628, 402.444, -322.697
1, 87, 107.88, 260.462, 195.952
1, 88, 239.175, 154.059, 207.664
