iteration,fitness,x0,x1
0, 308.753, 47.5776, -462.273
1, -815.512, -481.177, 377.289
2, -815.387, -481.162, 377.153
3, -815.374, -481.095, 377.217
4, -815.334, -481.04, 377.233
5, -873.537, 338.614, 491.58
6, -873.504, 338.624, 491.537
7, -873.501, 338.585, 491.573
8, -873.538, 338.598, 491.597
9, -873.717, 338.603, 491.619
10, -941.906, 511.995, 407.167
11, -941.888, 512, 407.143
12, -941.887, 511.977, 407.164
13, -941.909, 511.985, 407.179
14, -941.927, 511.989, 407.193
15, -941.941, 511.99, 407.206
16, -941.924, 511.983, 407.196
17, -941.917, 511.967, 407.204
18, -941.908, 511.955, 407.206
19, -941.91, 511.968, 407.196
20, -941.924, 511.967, 407.211
21, -941.931, 511.978, 407.207
22, -941.924, 511.966, 407.212
23, -941.926, 511.973, 407.207
24, -941.934, 511.974, 407.215
25, -941.935, 511.966, 407.223
26, -941.935, 511.974, 407.215
27, -941.928, 511.968, 407.214
28, -941.925, 511.976, 407.203
29, -941.927, 511.977, 407.205
30, -941.936, 511.978, 407.213
31, -941.938, 511.987, 407.206
32, -941.939, 511.995, 407.199
33, -941.943, 512, 407.199
34, -941.936, 512, 407.192
35, -941.934, 512, 407.189
36, -941.919, 511.992, 407.182
37, -941.924, 511.998, 407.181
38, -941.926, 511.993, 407.189
39, -941.924, 511.988, 407.191
40, -945.972, 512, 400.421
41, -945.961, 511.996, 400.414
42, -945.963, 511.994, 400.417
43, -945.953, 511.988, 400.413
44, -945.954, 511.985, 400.418
45, -945.956, 511.989, 400.416
46, -945.959, 511.994, 400.413
47, -945.959, 511.996, 400.412
48, -945.964, 511.997, 400.416
49, -950.602, 511.019, 404.174
