iteration,fitness,x0,x1
0, 199.329, -93.3586, 259.027
1, -732.899, -279.75, 512
2, -895.791, 454.1, 465.692
3, -895.831, 454.173, 465.656
4, -895.821, 454.155, 465.665
5, -895.782, 454.137, 465.64
6, -905.311, 512, 410.35
7, -905.32, 512, 410.358
8, -905.32, 511.964, 410.39
9, -905.302, 511.93, 410.401
10, -914.794, 429.79, 448.117
11, -914.798, 429.785, 448.125
12, -914.793, 429.786, 448.12
13, -914.816, 429.798, 448.13
14, -914.845, 429.811, 448.147
15, -914.849, 429.804, 448.157
16, -914.85, 429.816, 448.148
17, -914.851, 429.818, 448.146
18, -914.868, 429.823, 448.159
19, -914.862, 429.833, 448.143
20, -914.888, 429.846, 448.156
21, -914.878, 429.837, 448.154
22, -914.884, 429.84, 448.157
23, -914.882, 429.828, 448.168
24, -914.874, 429.815, 448.172
25, -914.859, 429.806, 448.166
26, -914.86, 429.797, 448.176
27, -914.865, 429.795, 448.183
28, -914.858, 429.788, 448.182
29, -914.876, 429.797, 448.192
30, -914.88, 429.804, 448.188
31, -914.873, 429.801, 448.184
32, -914.869, 429.803, 448.179
33, -914.865, 429.804, 448.175
34, -914.876, 429.81, 448.179
35, -914.881, 429.813, 448.182
36, -914.887, 429.817, 448.184
37, -914.883, 429.816, 448.18
38, -914.874, 429.81, 448.177
39, -914.865, 429.807, 448.171
40, -914.865, 429.806, 448.172
41, -914.868, 429.811, 448.17
42, -946.26, 512, 400.714
43, -946.258, 511.996, 400.716
44, -946.261, 512, 400.716
45, -946.258, 511.995, 400.717
46, -957.463, 512, 404.381
47, -957.462, 512, 404.379
48, -957.46, 512, 404.377
49, -957.454, 512, 404.371
