iteration,fitness,x0,x1
0, -72.6192, -187.234, -280.929
1, -643.283, -299.199, -478.115
2, -817.817, -317.171, 512
3, -817.766, -317.119, 512
4, -817.706, -317.082, 511.974
5, -817.71, -317.115, 511.942
6, -833.725, 415.88, 434.887
7, -833.7, 415.865, 434.876
8, -839.757, 415.86, 434.85
9, -945.62, 512, 400.063
10, -945.648, 512, 400.091
11, -945.669, 511.994, 400.117
12, -945.679, 511.993, 400.129
13, -945.675, 511.982, 400.136
14, -945.694, 511.99, 400.148
15, -945.698, 511.977, 400.165
16, -945.719, 511.992, 400.172
17, -957.766, 512, 404.685
18, -957.775, 512, 404.694
19, -957.777, 511.989, 404.707
20, -957.794, 512, 404.713
21, -957.801, 512, 404.72
22, -957.8, 511.987, 404.732
23, -957.777, 511.976, 404.72
24, -957.77, 511.977, 404.713
25, -957.764, 511.979, 404.705
26, -957.767, 511.982, 404.704
27, -957.784, 511.988, 404.715
28, -957.787, 511.986, 404.72
29, -957.771, 511.98, 404.71
30, -957.773, 511.983, 404.709
31, -957.771, 511.987, 404.702
32, -957.77, 511.985, 404.704
33, -957.778, 511.985, 404.712
34, -957.773, 511.978, 404.715
35, -957.772, 511.976, 404.715
36, -957.771, 511.968, 404.722
37, -957.763, 511.961, 404.721
38, -957.765, 511.963, 404.721
39, -957.773, 511.966, 404.727
40, -957.773, 511.96, 404.732
41, -957.778, 511.958, 404.739
42, -957.775, 511.956, 404.739
43, -957.776, 511.961, 404.734
44, -957.767, 511.959, 404.728
45, -957.766, 511.953, 404.732
46, -957.767, 511.953, 404.733
47, -957.76, 511.952, 404.727
48, -957.763, 511.952, 404.73
49, -957.765, 511.95, 404.733
